id,Latitude,Longitude
ABZ,57.201944,-2.197778
ACE,28.945464,-13.605225
AGP,36.6749,-4.499106
AJA,41.923637,8.802917
ALC,38.282169,-0.558156
AMS,52.308613,4.763889
ARN,59.651944,17.918611
ATH,37.936358,23.944467
BCN,41.297078,2.078464
BDS,40.657633,17.947033
BFS,54.6575,-6.215833
BIA,42.552664,9.483731
BIO,43.301097,-2.910608
BIQ,43.468419,-1.523325
BJV,37.82,28.204
BOD,44.828335,-0.715556
BRI,41.138856,16.760594
BRS,51.382669,-2.719089
BRU,50.901389,4.484444
BSL,47.59,7.529167
BUD,47.436933,19.255592
CAG,39.251469,9.054283
CDG,49.012779,2.55
CFU,39.601944,19.911667
CGN,50.865917,7.142744
CIA,41.799361,12.594936
CMN,33.367467,-7.589967
CPH,55.617917,12.655972
CTA,37.466781,15.0664
DBV,42.561353,18.268244
DLM,36.713056,28.7925
DTM,51.518314,7.612242
EDI,55.95,-3.3725
EMA,52.831111,-1.328056
FAO,37.014425,-7.965911
FCO,41.804475,12.250797
FNC,32.697889,-16.774453
FUE,28.452717,-13.863761
GIB,36.151219,-5.349664
GLA,55.871944,-4.433056
GVA,46.238064,6.10895
HAM,53.630389,9.988228
HEL,60.317222,24.963333
HER,35.339719,25.180297
HRG,27.178317,33.799436
IBZ,38.872858,1.373117
INN,47.260219,11.343964
INV,57.5425,-4.0475
JER,49.207947,-2.195508
JMK,37.435128,25.348103
JTR,36.399169,25.479333
KRK,50.077731,19.784836
LCA,34.875117,33.62485
LEI,36.843936,-2.370097
LGW,51.148056,-0.190278
LIN,45.445103,9.276739
LIS,38.781311,-9.135919
LJU,46.223686,14.457611
LPA,27.931886,-15.386586
LPL,53.333611,-2.849722
LRH,43.448891,1.263333
LTN,51.874722,-0.368333
LYS,45.726387,5.090833
MAD,40.493556,-3.566764
MAH,39.862597,4.218647
MAN,53.353744,-2.27495
MJV,37.774972,-0.812389
MLA,35.857497,14.4775
MPL,43.576194,3.963014
MRS,43.435555,5.213611
MUC,48.353783,11.786086
MXP,45.630606,8.728111
NAP,40.886033,14.290781
NCE,43.658411,7.215872
NCL,55.0375,-1.691667
OLB,40.898661,9.517628
OPO,41.248055,-8.681389
ORY,48.725278,2.359444
OTP,44.572161,26.102178
OVD,43.563567,-6.034622
PFO,34.718039,32.485731
PMI,39.55361,2.727778
PMO,38.110833,13.313333
PRG,50.100833,14.26
PSA,43.683917,10.39275
RAK,31.606886,-8.0363
RHO,36.405419,28.086192
SAW,40.898553,29.309219
SKG,40.519725,22.97095
SOF,42.695194,23.406167
SPU,43.538944,16.297964
SSH,27.977286,34.39495
STN,51.885,0.235
SUF,38.905394,16.242269
SXF,52.380001,13.5225
SZG,47.793304,13.004333
TFS,28.044475,-16.572489
TLL,59.413317,24.832844
TLS,43.629075,1.363819
TNG,35.726917,-5.916889
VCE,45.505278,12.351944
VIE,48.110278,16.569722
VLC,39.489314,-0.481625
WAW,52.16575,20.967122
ZRH,47.464722,8.549167
