Target,Source
AAR,AGP
AAR,ALC
AAR,GRO
AAR,RYG
AAR,STN
ABZ,DUB
ACE,BHX
ACE,BOH
ACE,BRS
ACE,CRL
ACE,DUB
ACE,EDI
ACE,EMA
ACE,GRO
ACE,HHN
ACE,LPL
ACE,LTN
ACE,MAD
ACE,NRN
ACE,ORK
ACE,PIK
ACE,STN
AGP,AAR
AGP,BGY
AGP,BHX
AGP,BLL
AGP,BLQ
AGP,BOH
AGP,BRE
AGP,BRS
AGP,BTS
AGP,BVA
AGP,CRL
AGP,DUB
AGP,EDI
AGP,EIN
AGP,EMA
AGP,FMM
AGP,GRO
AGP,GSE
AGP,HAU
AGP,HHN
AGP,KRK
AGP,LBA
AGP,LPL
AGP,MRS
AGP,MST
AGP,NRN
AGP,NYO
AGP,ORK
AGP,PIK
AGP,PSA
AGP,RYG
AGP,SCQ
AGP,SDR
AGP,SNN
AGP,STN
AGP,SXF
AGP,TMP
AGP,TRF
AGP,TSF
AGP,VLC
AGP,VLL
AGP,WRO
AGP,ZAZ
AHO,AOI
AHO,BGY
AHO,BLL
AHO,BRE
AHO,BTS
AHO,CIA
AHO,DUB
AHO,EIN
AHO,FMM
AHO,GRO
AHO,GSE
AHO,HHN
AHO,MAD
AHO,NRN
AHO,NYO
AHO,PMF
AHO,PSA
AHO,STN
AHO,TRF
AHO,TSF
ALC,AAR
ALC,AOC
ALC,BGY
ALC,BHX
ALC,BLL
ALC,BLQ
ALC,BOH
ALC,BRE
ALC,BRS
ALC,BTS
ALC,BVA
ALC,CRL
ALC,DSA
ALC,DUB
ALC,EDI
ALC,EIN
ALC,EMA
ALC,FKB
ALC,FMM
ALC,GDN
ALC,GSE
ALC,HAU
ALC,HHN
ALC,KIR
ALC,KRK
ALC,LBA
ALC,LBC
ALC,LDY
ALC,LGW
ALC,LPL
ALC,MAD
ALC,MME
ALC,MST
ALC,NOC
ALC,NQY
ALC,NRK
ALC,NRN
ALC,NYO
ALC,ORK
ALC,PIK
ALC,PMI
ALC,POZ
ALC,PSA
ALC,RYG
ALC,SCQ
ALC,SDR
ALC,STN
ALC,SVQ
ALC,TRF
ALC,TSF
ALC,VLL
ALC,VST
ALC,VXO
ALC,WRO
ALC,ZAZ
AOC,ALC
AOC,GRO
AOC,STN
AOI,AHO
AOI,CRL
AOI,NRN
