Source,Target
ABZ,LTN
ACE,LGW
ACE,LPL
ACE,MAD
AGA,CDG
AGA,LGW
AGA,LYS
AGA,MXP
AGP,BFS
AGP,BRS
AGP,CDG
AGP,GLA
AGP,LGW
AGP,LPL
AGP,LTN
AGP,MAN
AGP,MXP
AGP,NCL
AGP,STN
AGP,SXF
AJA,CDG
ALC,BFS
ALC,BRS
ALC,GLA
ALC,LGW
ALC,LPL
ALC,MAN
ALC,NCL
ALC,STN
AMS,BCN
AMS,BFS
AMS,BRS
AMS,EDI
AMS,FCO
AMS,LGW
AMS,LPL
AMS,LTN
AMS,MAD
AMS,MAN
AMS,MXP
AMS,PRG
AMS,STN
AMS,SXF
ARN,MXP
ATH,FCO
ATH,LGW
ATH,MAN
ATH,MXP
ATH,ORY
ATH,SXF
BCN,AMS
BCN,BFS
BCN,BRS
BCN,CDG
BCN,DTM
BCN,GVA
BCN,LGW
BCN,LIS
BCN,LPL
BCN,LTN
BCN,LYS
BCN,MXP
BCN,NCL
BCN,STN
BCN,SXF
BDS,MXP
BES,CDG
BES,LYS
BFS,AGP
BFS,ALC
BFS,AMS
BFS,BCN
BFS,BRS
BFS,CDG
BFS,EDI
BFS,FAO
BFS,GLA
BFS,GVA
BFS,KRK
BFS,LGW
BFS,LPL
BFS,NCL
BFS,STN
BHD,LTN
BHX,GNB
BHX,GVA
BIA,CDG
BIO,FCO
BIO,STN
BIQ,CDG
BOD,LGW
BOD,LTN
BOD,LYS
BOD,MXP
BOH,GVA
BRI,MXP
BRS,AGP
BRS,ALC
BRS,AMS
BRS,BCN
BRS,BFS
BRS,CDG
BRS,CIA
BRS,EDI
BRS,FAO
BRS,FNC
BRS,FUE
BRS,GLA
BRS,GNB
BRS,GVA
BRS,INN
BRS,INV
BRS,KRK
BRS,LYS
BRS,MAD
BRS,NCE
BRS,NCL
BRS,PFO
BRS,PMI
BRS,PRG
BRS,SXF
BRS,SZG
BRS,TFS
BRS,TLS
BRU,LYS
BRU,MXP
BRU,NCE
BRU,SXF
BSL,BCN
BSL,LGW
BSL,MAD
BSL,SXF
BUD,DTM
BUD,LGW
BUD,LTN
BUD,ORY
BUD,SXF
CAG,MXP
CAG,STN
CDG,AGA
CDG,AGP
CDG,AJA
CDG,BCN
CDG,BES
CDG,BFS
CDG,BIA
CDG,BIQ
CDG,BRS
CDG,CMN
CDG,CPH
CDG,CTA
CDG,EDI
CDG,FEZ
CDG,GLA
CDG,HEL
CDG,KRK
CDG,LIS
CDG,LJU
CDG,LPL
CDG,LTN
CDG,MAD
CDG,MXP
CDG,NCE
CDG,NCL
CDG,OPO
CDG,PRG
CDG,RAK
CDG,TLS
CDG,TNG
CDG,VCE
CDG,ZAG
CGN,EDI
CGN,LGW
CIA,BRS
CIA,LYS
CIA,ORY
CMN,CDG
CMN,LYS
CMN,MAD
CMN,MXP
CPH,CDG
CPH,GVA
CPH,LGW
CPH,MAN
CPH,MXP
CPH,STN
CPH,SXF
CTA,CDG
CTA,MXP
DTM,BCN
DTM,BUD
DTM,KRK
DTM,LTN
DTM,SKG
DUS,FCO
DUS,LGW
EDI,AMS
EDI,BFS
EDI,BRS
EDI,CDG
EDI,CGN
EDI,GVA
EDI,KRK
EDI,LGW
EDI,LTN
EDI,LYS
EDI,MAD
EDI,MUC
EDI,MXP
EDI,PFO
EDI,STN
FAO,BFS
FAO,BRS
FAO,GLA
FAO,LGW
FAO,LPL
FAO,LTN
FAO,NCL
FAO,ORY
FAO,STN
FCO,AMS
FCO,ATH
FCO,BIO
FCO,DUS
FCO,LGW
FCO,LIS
FCO,MAD
FCO,MLA
FCO,MXP
FCO,NCE
FCO,PMO
FCO,SUF
FCO,SXF
FCO,TLS
FCO,VCE
FEZ,CDG
FNC,BRS
FNC,LGW
FNC,LIS
FNC,STN
FUE,BRS
FUE,LPL
FUE,MAD
FUE,STN
GIB,LGW
GLA,AGP
GLA,ALC
GLA,BFS
GLA,BRS
GLA,CDG
GLA,FAO
GLA,GVA
GLA,LGW
GLA,LTN
GLA,STN
GLA,SXF
GNB,BHX
GNB,BRS
GNB,LGW
GNB,LPL
GNB,LTN
GNB,STN
GOT,LGW
GOT,MAN
GOT,SXF
GVA,BCN
GVA,BFS
GVA,BHX
GVA,BOH
GVA,BRS
GVA,CPH
GVA,EDI
GVA,GLA
GVA,LBA
GVA,LGW
GVA,LPL
GVA,LTN
GVA,MAN
GVA,NCL
GVA,ORY
GVA,STN
GVA,SXF
HAM,LGW
HAM,LTN
HAM,MAN
HEL,CDG
HEL,LGW
HEL,MAN
HRG,LGW
INN,BRS
INN,LGW
INN,LPL
INV,BRS
INV,LGW
INV,LTN
IOM,LPL
JER,LPL
KRK,BFS
KRK,BRS
KRK,CDG
KRK,DTM
KRK,EDI
KRK,LGW
KRK,LPL
LBA,GVA
LCA,LGW
LEI,LGW
LGW,ACE
LGW,AGA
LGW,AGP
LGW,ALC
LGW,AMS
LGW,ATH
LGW,BCN
LGW,BFS
LGW,BOD
LGW,BSL
LGW,BUD
LGW,CGN
LGW,CPH
LGW,DUS
LGW,EDI
LGW,FAO
LGW,FCO
LGW,FNC
LGW,GIB
LGW,GLA
LGW,GNB
LGW,GOT
LGW,GVA
LGW,HAM
LGW,HEL
LGW,HRG
LGW,INN
LGW,INV
LGW,KRK
LGW,LCA
LGW,LEI
LGW,LIN
LGW,LIS
LGW,LPA
LGW,LXR
LGW,LYS
LGW,MAD
LGW,MJV
LGW,MLA
LGW,MPL
LGW,MRS
LGW,MUC
LGW,MXP
LGW,NAP
LGW,NCE
LGW,OPO
LGW,PFO
LGW,PMI
LGW,PMO
LGW,PRG
LGW,PSA
LGW,RAK
LGW,SAW
LGW,SKG
LGW,SOF
LGW,SSH
LGW,SXF
LGW,SZG
LGW,TFS
LGW,TLS
LGW,VCE
LGW,VIE
LGW,VLC
LGW,ZRH
LIN,LGW
LIN,ORY
LIS,BCN
LIS,CDG
LIS,FCO
LIS,FNC
LIS,LGW
LIS,LTN
LIS,LYS
LIS,MAD
LIS,MXP
LIS,SXF
LIS,TLS
LJU,CDG
LJU,STN
LPA,LGW
LPL,ACE
LPL,AGP
LPL,ALC
LPL,AMS
LPL,BCN
LPL,BFS
LPL,CDG
LPL,FAO
LPL,FUE
LPL,GNB
LPL,GVA
LPL,INN
LPL,IOM
LPL,JER
LPL,KRK
LPL,LYS
LPL,MAD
LPL,MLA
LPL,PMI
LPL,SXF
LPL,SZG
LTN,ABZ
LTN,AGP
LTN,AMS
LTN,BCN
LTN,BHD
LTN,BOD
LTN,BUD
LTN,CDG
LTN,DTM
LTN,EDI
LTN,FAO
LTN,GLA
LTN,GNB
LTN,GVA
LTN,HAM
LTN,INV
LTN,LIS
LTN,MAD
LTN,MXP
