Source,Target
AAR,STN
ABZ,DUB
ACE,BCN
ACE,BHX
ACE,BLQ
ACE,BRS
ACE,CRL
ACE,DUB
ACE,EDI
ACE,EMA
ACE,GRO
ACE,HHN
ACE,LPL
ACE,LTN
ACE,MAD
ACE,NRN
ACE,PIK
ACE,SNN
ACE,STN
AGP,BCN
AGP,BHX
AGP,BLL
AGP,BRE
AGP,BRS
AGP,BTS
AGP,BVA
AGP,CRL
AGP,DUB
AGP,EDI
AGP,EIN
AGP,EMA
AGP,FMM
AGP,GSE
AGP,HHN
AGP,LBA
AGP,LPL
AGP,MST
AGP,NRN
AGP,NYO
AGP,ORK
AGP,PIK
AGP,RYG
AGP,SCQ
AGP,SDR
AGP,STN
AGP,SXF
AGP,VLC
AGP,ZAZ
AHO,BGY
AHO,CIA
AHO,DUB
AHO,EIN
AHO,GRO
AHO,HHN
AHO,MAD
AHO,NRN
AHO,PSA
AHO,STN
AHO,TRF
AHO,TSF
AHO,VRN
ALC,BGY
ALC,BHX
ALC,BLL
ALC,BLQ
ALC,BRE
ALC,BRS
ALC,BTS
ALC,BVA
ALC,CRL
ALC,DUB
ALC,EDI
ALC,EIN
ALC,EMA
ALC,FKB
ALC,FMM
ALC,GSE
ALC,HAU
ALC,HHN
ALC,KRK
ALC,LBA
ALC,LGW
ALC,LPL
ALC,MAD
ALC,MST
ALC,NRN
ALC,NYO
ALC,PIK
ALC,RYG
ALC,SCQ
ALC,STN
ALC,SVQ
ALC,TRF
ALC,TSF
ALC,ZAZ
AOC,STN
AOI,CRL
AOI,MAD
AOI,NRN
AOI,STN
AOI,TPS
BCN,ACE
BCN,AGP
BCN,BGY
BCN,BVA
BCN,CAG
BCN,CIA
BCN,CRL
BCN,DUB
BCN,EDI
BCN,FUE
BCN,IBZ
BCN,LBA
BCN,LPA
BCN,NRN
BCN,OPO
BCN,PMI
BCN,RYG
BCN,SCQ
BCN,SDR
BCN,SVQ
BCN,TFS
BCN,TSF
BCN,VLL
BDS,BGY
BDS,BLQ
BDS,CIA
BDS,CRL
BDS,GRO
BDS,PSA
BDS,STN
BDS,TRN
BDS,TSF
BDS,VRN
BES,LTN
BGY,AHO
BGY,ALC
BGY,BCN
BGY,BDS
BGY,BRE
BGY,BRI
BGY,BRQ
BGY,BTS
BGY,BVA
BGY,CAG
BGY,CIA
BGY,CRL
BGY,DUB
BGY,EIN
BGY,FUE
BGY,GRO
BGY,GRX
BGY,HHN
BGY,IBZ
BGY,ILD
BGY,KRK
BGY,KUN
BGY,LBC
BGY,LCJ
BGY,LGW
BGY,LPL
BGY,MAD
BGY,NRN
BGY,NYO
BGY,OPO
BGY,PMO
BGY,POZ
BGY,PSR
BGY,RHO
BGY,RIX
BGY,SDR
BGY,STN
BGY,SUF
BGY,SVQ
BGY,SXF
BGY,TFS
BGY,TLL
BGY,TPS
BGY,TRF
BGY,VLC
BGY,WRO
BGY,ZAZ
BHX,ACE
BHX,AGP
BHX,ALC
BHX,BTS
