Source,Target
ABZ,LTN
ACE,LGW
ACE,LPL
AGA,CDG
AGA,LGW
AGA,LYS
AGA,MXP
AGP,BFS
AGP,BRS
AGP,CDG
AGP,GLA
AGP,LGW
AGP,LPL
AGP,LTN
AGP,MAN
AGP,MXP
AGP,NCL
AGP,STN
AGP,SXF
AJA,CDG
ALC,BFS
ALC,BRS
ALC,GLA
ALC,LGW
ALC,LPL
ALC,LTN
ALC,MAN
ALC,NCL
ALC,STN
AMM,LGW
AMS,BCN
AMS,BFS
AMS,BRS
AMS,EDI
AMS,FCO
AMS,GVA
AMS,LGW
AMS,LPL
AMS,LTN
AMS,MAD
AMS,MAN
AMS,MXP
AMS,PRG
AMS,STN
AMS,SXF
ATH,FCO
ATH,LGW
ATH,MAN
ATH,MXP
ATH,ORY
ATH,SXF
AYT,LGW
BCN,AMS
BCN,BFS
BCN,BRS
BCN,CDG
BCN,DTM
BCN,LGW
BCN,LIS
BCN,LPL
BCN,LTN
BCN,LYS
BCN,MXP
BCN,NCL
BCN,STN
BCN,SXF
BDS,MXP
BES,CDG
BES,LYS
BFS,AGP
BFS,ALC
BFS,AMS
BFS,BCN
BFS,BRS
BFS,CDG
BFS,EDI
BFS,FAO
BFS,GLA
BFS,GVA
BFS,KRK
BFS,LGW
BFS,LPL
BFS,MLA
BFS,NCE
BFS,NCL
BFS,PMI
BFS,STN
BHD,LTN
BHX,GNB
BHX,GVA
BIA,CDG
BIA,LYS
BIO,FCO
BIO,STN
BIQ,CDG
BJV,BRS
BJV,LPL
BLQ,LGW
BOD,BRS
BOD,LGW
BOD,LTN
BOD,LYS
BOD,MAD
BOD,MXP
BOH,GVA
BRI,MXP
BRS,AGP
BRS,ALC
BRS,AMS
BRS,BCN
BRS,BFS
BRS,BJV
BRS,BOD
BRS,CDG
BRS,CFU
BRS,CIA
BRS,DLM
BRS,EDI
BRS,FAO
BRS,FNC
BRS,FUE
BRS,GLA
BRS,GNB
BRS,GVA
BRS,INN
BRS,INV
BRS,KRK
BRS,LIS
BRS,LYS
BRS,MAD
BRS,MJV
BRS,NCE
BRS,NCL
BRS,PFO
BRS,PMI
BRS,PRG
BRS,PSA
BRS,SXF
BRS,SZG
BRS,TFS
BRS,TLS
BRU,LPL
BRU,LYS
BRU,MXP
BRU,NCE
BRU,SXF
BSL,BCN
BSL,LGW
BSL,MAD
BSL,SXF
BUD,DTM
BUD,LGW
BUD,LTN
BUD,ORY
BUD,SXF
CAG,MXP
CAG,STN
CAG,SXF
CDG,AGA
CDG,AGP
CDG,AJA
CDG,BCN
CDG,BES
CDG,BFS
CDG,BIA
CDG,BIQ
CDG,BRS
CDG,CMN
CDG,CPH
CDG,CTA
CDG,EDI
CDG,FEZ
CDG,GLA
CDG,HEL
CDG,KRK
CDG,LIS
CDG,LJU
CDG,LPL
CDG,LTN
CDG,MAD
CDG,MXP
CDG,NCE
CDG,NCL
CDG,OPO
CDG,PRG
CDG,RAK
CDG,TLS
CDG,TNG
CDG,VCE
CDG,ZAG
CFU,BRS
CFU,LGW
CFU,MAN
CGN,EDI
CGN,LGW
CIA,BRS
CIA,LYS
CIA,ORY
CMN,CDG
CMN,LYS
CMN,MAD
CMN,MXP
CPH,CDG
CPH,LGW
CPH,MAN
CPH,MXP
CPH,STN
CPH,SXF
CTA,CDG
CTA,MXP
DLM,BRS
DLM,LGW
DLM,MAN
DLM,STN
DTM,BCN
DTM,BUD
DTM,LTN
DTM,PMI
DTM,SKG
DTM,ZAG
DUS,FCO
DUS,LGW
EDI,AMS
EDI,BFS
EDI,BRS
EDI,CDG
EDI,CGN
EDI,GVA
EDI,KRK
EDI,LGW
EDI,LIS
EDI,LTN
EDI,LYS
EDI,MAD
EDI,MUC
EDI,MXP
EDI,NCE
EDI,PFO
EDI,PMI
EDI,STN
FAO,BFS
FAO,BRS
FAO,GLA
FAO,LGW
FAO,LPL
FAO,LTN
FAO,NCL
FAO,ORY
FAO,STN
FCO,AMS
FCO,ATH
FCO,BIO
FCO,DUS
FCO,GVA
FCO,LGW
FCO,LIS
FCO,MAD
FCO,MLA
FCO,MXP
FCO,NCE
FCO,PMO
FCO,SXF
FCO,TLS
FCO,VCE
FEZ,CDG
FNC,BRS
FNC,LGW
FNC,LIS
FNC,STN
FUE,BRS
FUE,LPL
FUE,STN
GIB,LGW
GIB,LPL
GLA,AGP
GLA,ALC
GLA,BFS
GLA,BRS
GLA,CDG
GLA,FAO
GLA,GVA
GLA,LGW
GLA,LTN
GLA,PMI
GLA,STN
GLA,SXF
GNB,BHX
GNB,BRS
GNB,LGW
GNB,LPL
GNB,LTN
GNB,STN
GOT,LGW
GOT,MAN
GOT,SXF
GVA,AMS
GVA,BFS
GVA,BHX
GVA,BOH
GVA,BRS
GVA,EDI
GVA,FCO
GVA,GLA
GVA,LBA
GVA,LGW
GVA,LPL
GVA,LTN
GVA,MAN
GVA,NCE
GVA,NCL
GVA,ORY
GVA,STN
HAM,LGW
HAM,LTN
HAM,MAN
HEL,CDG
HEL,LGW
HEL,MAN
HER,LGW
HER,MAN
HRG,LGW
INN,BRS
INN,LGW
INN,LPL
INV,BRS
INV,LGW
INV,LTN
IOM,LPL
JER,LPL
KGS,LGW
KRK,BFS
KRK,BRS
KRK,CDG
KRK,EDI
KRK,LGW
KRK,LPL
LBA,GVA
LCA,LGW
LEI,LGW
LGW,ACE
LGW,AGA
LGW,AGP
LGW,ALC
LGW,AMM
LGW,AMS
LGW,ATH
LGW,AYT
LGW,BCN
LGW,BFS
LGW,BLQ
LGW,BOD
LGW,BSL
LGW,BUD
LGW,CFU
LGW,CGN
LGW,CPH
LGW,DLM
LGW,DUS
LGW,EDI
LGW,FAO
LGW,FCO
LGW,FNC
LGW,GIB
LGW,GLA
LGW,GNB
LGW,GOT
LGW,GVA
LGW,HAM
LGW,HEL
LGW,HER
LGW,HRG
LGW,INN
LGW,INV
LGW,KGS
LGW,KRK
LGW,LCA
LGW,LEI
LGW,LIN
LGW,LIS
LGW,LPA
LGW,LXR
LGW,LYS
LGW,MAD
LGW,MJV
LGW,MLA
LGW,MPL
LGW,MRS
LGW,MUC
LGW,MXP
LGW,NAP
LGW,NCE
LGW,OPO
LGW,PFO
LGW,PMI
LGW,PMO
LGW,PRG
LGW,PSA
LGW,RAK
LGW,RHO
LGW,SAW
LGW,SKG
LGW,SOF
LGW,SSH
LGW,SVQ
LGW,SXF
LGW,SZG
LGW,TFS
LGW,TLS
LGW,VCE
LGW,VIE
LGW,VLC
LGW,ZAG
LGW,ZRH
LGW,ZTH
LIN,LGW
LIN,ORY
LIS,BCN
LIS,BRS
LIS,CDG
LIS,EDI
LIS,FCO
LIS,FNC
LIS,LGW
LIS,LPL
LIS,LTN
LIS,LYS
LIS,MAD
