Source,Target
AAR,AGP
AAR,GRO
AAR,RYG
AAR,STN
ABZ,DUB
ACE,BCN
ACE,BGY
ACE,BHX
ACE,BLQ
ACE,BOH
ACE,BRS
ACE,CRL
ACE,DUB
ACE,EDI
ACE,EIN
ACE,EMA
ACE,FKB
ACE,HHN
ACE,LBA
ACE,LPL
ACE,LTN
ACE,MAD
ACE,NOC
ACE,NRN
ACE,ORK
ACE,PIK
ACE,SCQ
ACE,SDR
ACE,SNN
ACE,STN
ACE,SVQ
ACE,VLC
ACE,VLL
ACE,ZAZ
AGP,AAR
AGP,BCN
AGP,BGY
AGP,BHX
AGP,BLL
AGP,BLQ
AGP,BOH
AGP,BRE
AGP,BRS
AGP,BTS
AGP,BVA
AGP,CRL
AGP,CSO
AGP,DUB
AGP,EDI
AGP,EIN
AGP,EMA
AGP,FMM
AGP,GSE
AGP,HAU
AGP,HHN
AGP,IBZ
AGP,KRK
AGP,LBA
AGP,LPL
AGP,MRS
AGP,MST
AGP,NRN
AGP,NYO
AGP,ORK
AGP,PIK
AGP,PSA
AGP,RYG
AGP,SCQ
AGP,SDR
AGP,SNN
AGP,STN
AGP,SXF
AGP,TMP
AGP,TRF
AGP,TSF
AGP,VLC
AGP,VLL
AGP,VST
AGP,WRO
AGP,ZAZ
AHO,AOI
AHO,BGY
AHO,BLL
AHO,BTS
AHO,CIA
AHO,DUB
AHO,EIN
AHO,FMM
AHO,GRO
AHO,GSE
AHO,HHN
AHO,MAD
AHO,NRN
AHO,NYO
AHO,PMF
AHO,PSA
AHO,STN
AHO,TRF
AHO,TSF
AHO,VRN
ALC,BGY
ALC,BHX
ALC,BLL
ALC,BLQ
ALC,BOH
ALC,BRE
ALC,BRQ
ALC,BRS
ALC,BTS
ALC,BVA
ALC,CRL
ALC,CSO
ALC,DSA
ALC,DUB
ALC,EDI
ALC,EIN
ALC,EMA
ALC,FKB
ALC,FMM
ALC,GDN
ALC,GSE
ALC,HAU
ALC,HHN
ALC,HUY
ALC,KIR
ALC,KRK
ALC,KUN
ALC,LBA
ALC,LGW
ALC,LPL
ALC,MAD
ALC,MAN
ALC,MST
ALC,NOC
ALC,NRN
ALC,NYO
ALC,PIK
ALC,PMI
ALC,POZ
ALC,PSA
ALC,RYG
ALC,SCQ
ALC,SDR
ALC,STN
ALC,SVQ
ALC,TMP
ALC,TRF
ALC,TSF
ALC,VLL
ALC,VST
ALC,VXO
ALC,WRO
ALC,ZAZ
AOI,AHO
AOI,CRL
AOI,MAD
AOI,NRN
AOI,STN
AOI,TPS
BCN,ACE
BCN,AGP
BCN,BGY
BCN,BVA
BCN,CAG
BCN,CIA
BCN,CRL
BCN,DUB
BCN,EDI
BCN,FUE
BCN,IBZ
BCN,LBA
BCN,LPA
BCN,NRN
BCN,OPO
BCN,PMI
BCN,RYG
BCN,SCQ
BCN,SDR
BCN,SVQ
BCN,TFS
BCN,TSF
BCN,VLL
BDS,BGY
BDS,BLQ
BDS,BVA
BDS,CIA
BDS,CRL
BDS,EIN
BDS,GRO
BDS,NYO
BDS,PSA
BDS,STN
BDS,TRN
BDS,TSF
BDS,VRN
BES,MRS
BGY,ACE
BGY,AGP
BGY,AHO
BGY,ALC
BGY,BCN
BGY,BDS
BGY,BLL
BGY,BRI
BGY,BRQ
BGY,BRS
BGY,BTS
BGY,BVA
BGY,CAG
BGY,CIA
BGY,CND
BGY,CRL
BGY,DUB
BGY,EIN
BGY,EMA
BGY,FUE
BGY,GRO
BGY,GRX
BGY,GSE
BGY,HHN
BGY,IBZ
BGY,ILD
BGY,KGS
BGY,KRK
BGY,KUN
BGY,LBC
BGY,LCJ
BGY,LDE
BGY,LPA
BGY,LPL
BGY,LPP
BGY,MAD
BGY,NRN
BGY,NYO
BGY,OPO
BGY,PIK
BGY,PMO
BGY,POZ
BGY,PSR
BGY,REU
BGY,RHO
BGY,RIX
BGY,SCQ
BGY,SDR
BGY,STN
BGY,SUF
BGY,SVQ
BGY,SXF
BGY,TFS
BGY,TLL
BGY,TMP
BGY,TPS
BGY,TRF
BGY,VLC
BGY,VLL
BGY,VOL
BGY,WRO
BGY,ZAZ
BHX,ACE
BHX,AGP
BHX,ALC
BHX,BTS
BHX,BZG
BHX,DUB
BHX,FAO
BHX,FUE
BHX,GDN
BHX,GRO
BHX,IBZ
BHX,KTW
BHX,KUN
BHX,LDY
BHX,LPA
BHX,MJV
BHX,MLA
BHX,MPL
BHX,PMI
BHX,REU
BHX,RZE
BHX,TFS
BHX,TRS
BIQ,DUB
BIQ,NYO
BIQ,STN
BLL,AGP
BLL,AHO
BLL,ALC
BLL,BGY
BLL,CIA
BLL,EDI
BLL,FAO
BLL,GRO
BLL,MLA
BLL,PMI
BLL,PSA
BLL,STN
BLL,TFS
BLL,TPS
BLQ,ACE
BLQ,AGP
BLQ,ALC
BLQ,BDS
BLQ,BOD
BLQ,BRI
BLQ,BVA
BLQ,CRL
BLQ,DUB
BLQ,EDI
BLQ,GRO
BLQ,HHN
BLQ,IBZ
BLQ,KGS
BLQ,KRK
BLQ,LCA
BLQ,MAD
BLQ,MLA
BLQ,NRN
BLQ,OPO
BLQ,PMO
BLQ,RHO
BLQ,STN
BLQ,SUF
BLQ,SVQ
BLQ,TFS
BLQ,TPS
BLQ,VLC
BLQ,WRO
BLQ,ZAZ
BOD,BLQ
BOD,CRL
BOD,EDI
BOD,OPO
BOH,ACE
BOH,AGP
BOH,ALC
BOH,FAO
BOH,FUE
BOH,GRO
BOH,IBZ
BOH,LPA
BOH,MJV
BOH,PMI
BOH,PSA
BOH,TFS
BRE,AGP
BRE,ALC
BRE,EDI
BRE,FAO
BRE,FUE
BRE,GRO
BRE,HAU
BRE,IBZ
BRE,LPA
BRE,NYO
BRE,OPO
BRE,PMI
BRE,RHO
BRE,RIX
BRE,STN
BRE,TFS
BRE,TLL
BRE,TMP
BRE,TRF
BRE,TSF
BRI,BGY
BRI,BLQ
BRI,BVA
BRI,CAG
BRI,CIA
BRI,CRL
BRI,FKB
BRI,GOA
BRI,HHN
BRI,KGS
BRI,MAD
BRI,MLA
BRI,NRN
BRI,PSA
BRI,STN
BRI,SVQ
BRI,TPS
BRI,TRN
BRI,TSF
BRI,VLC
BRQ,ALC
BRQ,BGY
BRQ,STN
BRS,ACE
BRS,AGP
BRS,ALC
BRS,BGY
BRS,BZR
BRS,DUB
BRS,EGC
BRS,FAO
BRS,GDN
BRS,GRO
BRS,IBZ
BRS,KUN
BRS,LIG
BRS,LPA
BRS,MLA
BRS,NOC
BRS,PMI
BRS,POZ
BRS,REU
BRS,RIX
BRS,RZE
BRS,SVQ
BRS,TFS
BRS,TSF
BRS,VLC
BRS,WRO
BTS,AGP
BTS,AHO
BTS,ALC
BTS,BGY
BTS,BHX
BTS,BVA
BTS,CIA
BTS,CRL
BTS,DUB
BTS,EDI
BTS,GRO
BTS,LPA
BTS,LPL
BTS,LTN
BTS,PMI
BTS,STN
BTS,TPS
BVA,AGP
BVA,ALC
BVA,BCN
BVA,BDS
BVA,BGY
BVA,BLQ
BVA,BRI
BVA,BTS
BVA,CAG
BVA,CIA
BVA,DUB
BVA,EDI
BVA,FAO
BVA,GRO
BVA,GSE
BVA,KRK
BVA,KUN
BVA,MAD
BVA,NYO
BVA,OPO
BVA,PIK
BVA,PMF
BVA,PSA
BVA,PSR
BVA,REU
BVA,RYG
BVA,SDR
BVA,SVQ
BVA,TFS
BVA,TPS
BVA,TRN
BVA,TSF
BVA,VLC
BVA,VRN
BVA,ZAZ
BZG,BHX
BZG,DUB
BZG,STN
BZR,BRS
BZR,LTN
BZR,NRN
BZR,NYO
BZR,RYG
CAG,BCN
CAG,BGY
CAG,BRI
CAG,BVA
CAG,CIA
CAG,CRL
CAG,CUF
CAG,FKB
CAG,GOA
CAG,HHN
CAG,IBZ
CAG,KRK
CAG,MAD
CAG,MRS
CAG,NRN
CAG,PEG
CAG,PMF
CAG,PSA
CAG,PSR
CAG,RHO
CAG,SVQ
CAG,TPS
CAG,TRS
CAG,TSF
CAG,VLC
CCF,CRL
CCF,DUB
CCF,EMA
CCF,LPL
CCF,OPO
CCF,PIK
CCF,STN
CIA,AHO
CIA,BCN
CIA,BDS
CIA,BGY
CIA,BLL
CIA,BRI
CIA,BTS
CIA,BVA
CIA,CAG
CIA,CRL
CIA,DUB
CIA,EDI
CIA,EIN
CIA,EMA
CIA,FKB
CIA,GRO
CIA,GSE
CIA,HHN
CIA,IBZ
CIA,KRK
CIA,LGW
CIA,LPL
CIA,MAD
CIA,NRN
CIA,NYO
CIA,OPO
CIA,PIK
CIA,RHO
CIA,RYG
CIA,SDR
CIA,STN
CIA,SVQ
CIA,TPS
CIA,VLC
CIA,VOL
CIA,WRO
CIA,ZAZ
CND,BGY
CND,PSA
CRL,ACE
CRL,AGP
CRL,ALC
CRL,AOI
CRL,BCN
CRL,BDS
CRL,BGY
CRL,BLQ
CRL,BOD
CRL,BRI
CRL,BTS
CRL,CAG
CRL,CCF
CRL,CIA
CRL,DUB
CRL,EDI
CRL,EGC
CRL,FAO
CRL,FNI
CRL,FSC
CRL,FUE
CRL,GRO
CRL,GSE
CRL,IBZ
CRL,KGS
CRL,KRK
CRL,KUN
CRL,LCA
CRL,LPA
CRL,LPP
CRL,LRH
CRL,MAD
CRL,MPL
CRL,MRS
CRL,NYO
CRL,OPO
CRL,PEG
CRL,PGF
CRL,PMI
CRL,PSA
CRL,PSR
CRL,REU
CRL,RIX
CRL,RYG
CRL,SDR
CRL,SKG
CRL,SUF
CRL,SVQ
CRL,TFS
CRL,TPS
CRL,TRN
CRL,TRS
CRL,TSF
CRL,VLC
CRL,VLL
CRL,VOL
CRL,VRN
CRL,WRO
CRL,ZAD
CRL,ZAZ
CSO,AGP
CSO,ALC
CSO,GRO
CSO,LPA
CUF,CAG
CUF,TPS
DNR,EMA
DNR,STN
DSA,ALC
DSA,FAO
DSA,TFS
DUB,ABZ
DUB,ACE
DUB,AGP
DUB,AHO
DUB,ALC
DUB,BCN
DUB,BGY
DUB,BHX
DUB,BIQ
DUB,BLQ
DUB,BRS
DUB,BTS
DUB,BVA
DUB,BZG
DUB,CCF
DUB,CIA
DUB,CRL
DUB,EDI
DUB,EIN
DUB,EMA
DUB,FAO
DUB,FMM
DUB,FUE
DUB,GDN
DUB,GRO
DUB,HHN
DUB,IBZ
DUB,KIR
DUB,KRK
DUB,KTW
DUB,KUN
DUB,LBA
DUB,LCJ
DUB,LGW
DUB,LPA
DUB,LPL
DUB,LRH
DUB,LTN
DUB,MAD
DUB,MAN
DUB,MJV
DUB,MLA
DUB,NCE
DUB,NCL
DUB,NTE
DUB,NYO
DUB,OPO
DUB,ORK
DUB,PIK
DUB,PMI
DUB,POZ
DUB,PSA
DUB,RDZ
DUB,REU
DUB,RIX
DUB,RYG
DUB,RZE
DUB,SDR
DUB,STN
DUB,SVQ
DUB,SXF
DUB,SZZ
DUB,TFS
DUB,TLL
DUB,TPS
DUB,TSF
DUB,TUF
DUB,VLC
DUB,WRO
DUB,ZAD
EBU,OPO
EDI,ACE
EDI,AGP
EDI,ALC
EDI,BCN
EDI,BLL
EDI,BLQ
EDI,BOD
EDI,BRE
EDI,BTS
EDI,BVA
EDI,CIA
EDI,CRL
EDI,DUB
EDI,FAO
EDI,FMM
EDI,FUE
EDI,GDN
EDI,GSE
EDI,HHN
EDI,KRK
EDI,KUN
EDI,LCJ
EDI,LPA
EDI,MLA
EDI,MRS
EDI,NRN
EDI,NYO
EDI,PMI
EDI,POZ
EDI,PSA
EDI,SXF
EDI,TFS
EDI,TLL
EDI,TMP
EDI,TRF
EGC,BRS
EGC,CRL
EGC,EMA
EGC,LPL
EGC,STN
EIN,ACE
EIN,AGP
EIN,AHO
EIN,ALC
EIN,BDS
EIN,BGY
EIN,CIA
EIN,DUB
EIN,FAO
EIN,GRO
EIN,IBZ
EIN,LPA
EIN,MAD
EIN,MLA
EIN,MRS
EIN,NYO
EIN,OPO
EIN,PMI
EIN,PSA
EIN,PSR
EIN,REU
EIN,STN
EIN,SVQ
EIN,TPS
EMA,ACE
EMA,AGP
EMA,ALC
EMA,BGY
EMA,CCF
EMA,CIA
EMA,DNR
EMA,DUB
EMA,EGC
EMA,FAO
EMA,FUE
EMA,GRO
EMA,IBZ
EMA,KRK
EMA,LCJ
EMA,LIG
EMA,LPA
EMA,MJV
EMA,NOC
EMA,NTE
EMA,PMI
EMA,PSA
EMA,REU
EMA,RIX
EMA,RZE
EMA,SVQ
EMA,SXF
EMA,TFS
EMA,TLL
EMA,TSF
EMA,VLC
EMA,WRO
FAO,BHX
FAO,BLL
FAO,BOH
FAO,BRE
FAO,BRS
FAO,BVA
FAO,CRL
FAO,DSA
FAO,DUB
FAO,EDI
FAO,EIN
FAO,EMA
FAO,FMM
FAO,HHN
FAO,KIR
FAO,LBA
FAO,LDY
FAO,LPL
FAO,MAD
FAO,MAN
FAO,MST
FAO,NOC
FAO,NRN
FAO,NYO
FAO,OPO
FAO,ORK
FAO,PIK
FAO,RYG
FAO,STN
FKB,ACE
FKB,ALC
FKB,BRI
FKB,CAG
FKB,CIA
FKB,GRO
FKB,LPA
FKB,NYO
FKB,OPO
FKB,STN
FKB,TFS
FKB,TPS
FMM,AGP
FMM,AHO
FMM,ALC
FMM,DUB
FMM,EDI
FMM,FAO
FMM,GRO
FMM,NYO
FMM,OPO
FMM,PSA
FMM,REU
FMM,RYG
FMM,STN
FMM,TPS
FMM,VLC
FNI,CRL
FNI,LPL
FNI,LTN
FSC,CRL
FUE,BCN
FUE,BGY
FUE,BHX
FUE,BOH
FUE,BRE
FUE,CRL
FUE,DUB
FUE,EDI
FUE,EMA
FUE,HHN
FUE,LBA
FUE,LPL
FUE,LTN
FUE,MAD
FUE,NRN
FUE,ORK
FUE,PIK
FUE,PSA
FUE,STN
FUE,VLC
GDN,ALC
GDN,BHX
GDN,BRS
GDN,DUB
GDN,EDI
GDN,LBA
GDN,RYG
GDN,STN
GOA,BRI
GOA,CAG
GOA,STN
GOA,TPS
GRO,AAR
GRO,AHO
GRO,BDS
GRO,BGY
GRO,BHX
GRO,BLL
GRO,BLQ
GRO,BOH
GRO,BRE
GRO,BRS
GRO,BTS
GRO,BVA
GRO,CIA
GRO,CRL
GRO,CSO
GRO,DUB
GRO,EIN
GRO,EMA
GRO,FKB
GRO,FMM
GRO,GSE
GRO,HHN
GRO,KSD
GRO,KUN
GRO,LCA
GRO,LGW
GRO,LPL
GRO,LTN
GRO,MAD
GRO,MLA
GRO,MST
GRO,NCL
GRO,NYO
GRO,PIK
GRO,PMI
GRO,POZ
GRO,PSA
GRO,PSR
GRO,RZE
