id,Latitude,Longitude
DXB,25.252778,55.364444
MCT,23.593278,58.284444
AMD,23.077242,72.63465
BOM,19.088686,72.867919
BDQ,22.336164,73.226289
GOI,15.380833,73.831422
IDR,22.721786,75.801086
NAG,21.092192,79.047183
PNQ,18.582111,73.919697
RPR,21.180406,81.738753
IXA,23.886978,91.24045
BBI,20.244364,85.817781
CCU,22.654739,88.446722
IMF,24.75995,93.896697
PAT,25.591317,85.087992
IXR,23.31425,85.321675
VTZ,17.721167,83.224483
IXC,30.673469,76.788542
DEL,28.5665,77.103088
JAI,26.824192,75.812161
IXJ,32.689142,74.837389
LKO,26.760594,80.889339
SXR,33.987139,74.77425
KTM,27.696583,85.3591
BLR,12.949986,77.668206
CJB,11.030031,77.043383
COK,10.155556,76.391389
HYD,17.453117,78.467586
MAA,12.994414,80.180517
TRV,8.482122,76.920114
SIN,1.350189,103.994433
BKK,13.681108,100.747283
GAU,26.106092,91.585939
DIB,27.4839,95.0169
