id,Latitude,Longitude
GKA,-6.081689,145.391881
MAG,-5.207083,145.7887
HGU,-5.826789,144.295861
LAE,-6.569828,146.726242
POM,-9.443383,147.22005
WWK,-3.583828,143.669186
UAK,61.160517,-45.425978
GOH,64.190922,-51.678064
SFJ,67.016969,-50.689325
THU,76.531203,-68.703161
AEY,65.659994,-18.072703
EGS,65.283333,-14.401389
HFN,64.295556,-15.227222
HZK,65.952328,-17.425978
IFJ,66.058056,-23.135278
KEF,63.985,-22.605556
PFJ,65.555833,-23.965
RKV,64.13,-21.940556
SIJ,66.133333,-18.916667
VEY,63.424303,-20.278875
YAM,46.485001,-84.509445
YAV,50.056389,-97.0325
YAW,44.639721,-63.499444
YAY,51.391944,-56.083056
YAZ,49.082222,-125.7725
YBB,68.534444,-89.808056
YBC,49.1325,-68.204444
YBG,48.330555,-70.996391
YBK,64.298889,-96.077778
YBL,49.950832,-125.270833
YBR,49.91,-99.951944
YCB,69.108055,-105.138333
YCD,49.052333,-123.870167
YCG,49.296389,-117.6325
YCH,47.007778,-65.449167
YCL,47.990833,-66.330278
YCO,67.816667,-115.143889
YCT,52.075001,-111.445278
YCW,49.152779,-121.93889
YCY,70.486111,-68.516667
YZS,64.193333,-83.359444
YDA,64.043056,-139.127778
YDB,61.371111,-139.040556
YDC,49.468056,-120.511389
YDF,49.210833,-57.391388
YDL,58.422222,-130.032222
YDN,51.100834,-100.0525
YDQ,55.742333,-120.183
YEG,53.309723,-113.579722
YEK,61.094166,-94.070833
YEN,49.210278,-102.965833
YET,53.578888,-116.465
YEU,79.994722,-85.814167
YEV,68.304167,-133.482778
YFB,63.75639,-68.555832
YFC,45.868889,-66.537222
,48.746111,-69.097222
YFO,54.678055,-101.681667
YFR,61.180832,-113.689722
YFS,61.760153,-121.236525
YGK,44.225277,-76.596944
YGL,53.625278,-77.704167
YGP,48.775278,-64.478611
YGQ,49.778332,-86.939445
YGR,47.424721,-61.778056
YHB,52.816666,-102.31139
YHD,49.831667,-92.744167
YHI,70.762778,-117.806111
YHK,68.635556,-95.849722
YHM,43.173611,-79.935
YHU,45.5175,-73.416944
YHY,60.839722,-115.782778
YHZ,44.880833,-63.50861
YIB,48.773888,-91.638611
YIO,72.683334,-77.966667
YJN,45.294445,-73.281111
YJT,48.544167,-58.549999
YKA,50.702222,-120.444444
YKF,43.460833,-80.378611
