id,Latitude,Longitude
BRU,50.90140152,4.48443985
CRL,50.45920181,4.453820229
SXF,52.38000107,13.52250004
FMO,52.13460159,7.684830189
CGN,50.86589813,7.142739773
NUE,49.498699,11.0780556
LEJ,51.4238889,12.2363889
BRE,53.04750061,8.786669731
HHN,49.94869995,7.26388979
LBC,53.80540085,10.71920013
DTM,51.5182991,7.612239838
TLL,59.41329956,24.83279991
LPP,61.044601,28.144743
TMP,61.41410065,23.60440063
LDY,55.0428009,-7.161109924
BHX,52.45389938,-1.748029947
MAN,53.35369873,-2.274950027
BRS,51.382702,-2.71909
LPL,53.33359909,-2.849720001
LTN,51.87469864,-0.368333012
BOH,50.77999878,-1.842499971
LGW,51.14810181,-0.190277994
LBA,53.86589813,-1.660570025
NCL,55.03749847,-1.691669941
EMA,52.83110046,-1.328060031
EDI,55.95000076,-3.372499943
PIK,55.50939941,-4.586669922
STN,51.88499832,0.234999999
MST,50.9117012,5.770140171
EIN,51.45009995,5.374529839
GRQ,53.11970139,6.579440117
ORK,51.84130096,-8.491109848
DUB,53.42129898,-6.270070076
NOC,53.91030121,-8.818490028
KIR,52.18090057,-9.523779869
SNN,52.70199966,-8.924819946
AAR,56.29999924,10.61900043
BLL,55.74029922,9.151780128
HAU,59.34529877,5.208360195
RYG,59.378817,10.785439
TRF,59.18669891,10.25860024
GDN,54.37760162,18.46619987
KRK,50.07770157,19.78479958
KTW,50.4743,19.08
POZ,52.42100143,16.82629967
RZE,50.11000061,22.0189991
SZZ,53.58470154,14.90219975
WRO,51.10269928,16.88579941
GSE,57.77470016,11.87040043
NYO,58.78860092,16.91220093
MMX,55.53630536,13.37619781
VXO,56.92910004,14.72799969
SFT,64.62480164,21.07690048
VST,59.58940125,16.63360023
FUE,28.45269966,-13.86380005
LPA,27.93190002,-15.38659954
ACE,28.94549942,-13.60519981
TFS,28.04450035,-16.57250023
TFN,28.48270035,-16.34149933
AGA,30.32500076,-9.413069725
FEZ,33.9272995,-4.97796011
OUD,34.78720093,-1.923990011
RBA,34.05149841,-6.751520157
RAK,31.60689926,-8.036299706
TNG,35.72689819,-5.916890144
PDV,42.067799,24.8508
PFO,34.7179985,32.4856987
OSI,45.46269989,18.81019974
PUY,44.89350128,13.9222002
RJK,45.21689987,14.5703001
ZAD,44.10829926,15.34669971
ALC,38.28219986,-0.558156013
LEI,36.84389877,-2.370100021
BCN,41.29710007,2.078459978
GRO,41.90100098,2.760550022
IBZ,38.8728981,1.37311995
XRY,36.74459839,-6.060110092
MJV,37.77500153,-0.812389016
MAD,40.471926,-3.56264
AGP,36.67490005,-4.499110222
MAH,39.86259842,4.218649864
REU,41.1473999,1.167170048
SCQ,42.89630127,-8.415140152
VLC,39.48929977,-0.481624991
VLL,41.70610046,-4.851940155
SDR,43.42710114,-3.820009947
ZAZ,41.66619873,-1.04155004
SVQ,37.41799927,-5.893109798
BOD,44.82830048,-0.715556026
EGC,44.82529831,0.518611014
PIS,46.58769989,0.306665987
LIG,45.8628006,1.179440022
LDE,43.17869949,-0.006439
BVE,48.780001,5.980003
BIQ,43.4683333,-1.5311111
RDZ,44.40790176,2.482670069
DLE,47.042686,5.435061
FSC,41.50059891,9.097780228
CFE,45.7867012,3.169169903
EBU,45.54059982,4.296390057
CCF,43.2159996,2.306319952
MRS,43.43927192,5.221424103
NCE,43.65840149,7.215869904
PGF,42.74039841,2.87067008
MPL,43.57619858,3.963010073
BZR,43.32350159,3.353899956
BVA,49.45439911,2.112780094
XCR,48.77610016,4.184490204
TUF,47.43220139,0.727605999
LIL,50.563332,3.086886
BES,48.44789886,-4.418540001
DNR,48.58769989,-2.079960108
NTE,47.15319824,-1.610730052
BSL,47.59,7.5291667
SXB,48.53829956,7.628230095
TLN,43.09730148,6.146029949
FNI,43.75740051,4.416349888
VOL,39.21960068,22.79430008
EFL,38.12009811,20.50049973
KGS,36.79330063,27.0916996
CFU,39.60189819,19.9116993
RHO,36.40539932,28.08620071
GPA,38.1511,21.4256
CHQ,35.53170013,24.14970016
SKG,40.5196991,22.97089958
ZTH,37.75090027,20.88430023
BUD,47.43690109,19.25559998
BRI,41.138901,16.760599
PSR,42.431702,14.1811
BDS,40.6576,17.947001
SUF,38.905399,16.2423
CTA,37.466801,15.0664
PMO,38.175999,13.091
TPS,37.9114,12.488
AHO,40.632099,8.29077
CAG,39.251499,9.05428
BGY,45.673901,9.70417
TRN,45.200802,7.64963
GOA,44.4133,8.8375
PMF,44.824501,10.2964
CUF,44.547001,7.62322
BLQ,44.5354,11.2887
TSF,45.648399,12.1944
TRS,45.827499,13.4722
CIA,41.7994,12.5949
FCO,41.8002778,12.2388889
PSA,43.683899,10.3927
PEG,43.095901,12.5132
OSR,49.69630051,18.11109924
PRG,50.1008,14.26
BRQ,49.15129852,16.69440079
MLA,35.857498,14.4775
LNZ,48.2332,14.1875
SZG,47.79330063,13.00430012
FAO,37.01440048,-7.965909958
OPO,41.24810028,-8.681389809
LIS,38.78129959,-9.135919571
OTP,44.5711111,26.085
TGD,42.3594017,19.25189972
BTS,48.17020035,17.21269989
ATH,37.93640137,23.94449997
RIX,56.92359924,23.97109985
KUN,54.96390152,24.08480072
VNO,54.63410187,25.28580093
FMM,47.98880005,10.23950005
PMI,39.55170059,2.738810062
FKB,48.77939987,8.080499649
NRN,51.60240173,6.142169952
AOI,43.616299,13.3623
BZG,53.09680176,17.97769928
ESU,31.39749908,-9.681670189
NDR,34.98880005,-3.028209925
LRH,46.17919922,-1.195279956
WMI,52.4510994,20.65180016
CIY,36.994601,14.607182
LUZ,51.240278,22.713611
