id,Latitude,Longitude
DTM,51.5182991,7.612239838
STN,51.88499832,0.234999999
DUB,53.42129898,-6.270070076
SFT,64.62480164,21.07690048
RBA,34.05149841,-6.751520157
RAK,31.60689926,-8.036299706
OSI,45.46269989,18.81019974
PUY,44.89350128,13.9222002
ZAD,44.10829926,15.34669971
LEI,36.84389877,-2.370100021
IBZ,38.8728981,1.37311995
VLC,39.48929977,-0.481624991
SDR,43.42710114,-3.820009947
BOD,44.82830048,-0.715556026
BVE,48.780001,5.980003
RDZ,44.40790176,2.482670069
BSL,47.59,7.5291667
TLN,43.09730148,6.146029949
EFL,38.12009811,20.50049973
RHO,36.40539932,28.08620071
CHQ,35.53170013,24.14970016
BRI,41.138901,16.760599
AHO,40.632099,8.29077
BLQ,44.5354,11.2887
PRG,50.1008,14.26
LIS,38.78129959,-9.135919571
OTP,44.5711111,26.085
TGD,42.3594017,19.25189972
ATH,37.93640137,23.94449997
LRH,46.17919922,-1.195279956
CIY,36.994601,14.607182
