id,Latitude,Longitude
DXB,25.25279999,55.36439896
MCT,23.59329987,58.28440094
AMD,23.07719994,72.63469696
BOM,19.08869934,72.86789703
BDQ,22.33620071,73.2263031
GOI,15.38080025,73.83139801
IDR,22.72179985,75.80110168
NAG,21.09219933,79.04720306
PNQ,18.58209991,73.91970062
RPR,21.18040085,81.73880005
IXA,23.88699913,91.24040222
IXB,26.68120003,88.32859802
BBI,20.24440002,85.81780243
CCU,22.65469933,88.44670105
IMF,24.76000023,93.896698
DIB,27.48390007,95.01689911
PAT,25.59129906,85.08799744
IXR,23.31430054,85.32170105
VTZ,17.72120094,83.22450256
VNS,25.45240021,82.85929871
IXC,30.67350006,76.78849792
DEL,28.56649971,77.10310364
JAI,26.82419968,75.81220245
IXJ,32.68909836,74.83740234
LKO,26.76059914,80.88929749
SXR,33.98709869,74.77420044
KTM,27.69659996,85.35910034
BLR,13.1979,77.706299
CJB,11.02999973,77.04340363
COK,10.15200043,76.40190125
MAA,12.99000549,80.16929626
TRV,8.48211956,76.92009735
SIN,1.35019,103.994003
BKK,13.68109989,100.7470016
GAU,26.10610008,91.58589935
HYD,17.24,78.428056
