Source,Target
AAR,AGP
ACE,BVA
ACE,FKB
ACE,ZAZ
AGP,AAR
AGP,BGY
AGP,BLQ
AGP,BRU
AGP,BTS
AGP,IBZ
AGP,MMX
AGP,NOC
AGP,PMI
AGP,SDR
AGP,TSF
AGP,VST
AHO,AOI
AHO,BLQ
AHO,DUB
AHO,FMM
AHO,NYO
AHO,PMF
AHO,TRF
AHO,TRS
ALC,BLQ
ALC,BRU
ALC,KIR
ALC,SNN
ALC,TMP
ALC,WMI
ALC,WRO
AOI,AHO
AOI,TPS
ATH,BGY
ATH,CHQ
ATH,PFO
ATH,RHO
ATH,SKG
ATH,STN
BCN,BRU
BCN,FCO
BCN,MAN
BDS,BVA
BDS,GRO
BGY,AGP
BGY,ATH
BGY,CHQ
BGY,EMA
BGY,GRO
BGY,IBZ
BGY,KGS
BGY,LDE
BGY,PMI
BGY,RHO
BGY,SCQ
BGY,TMP
BHX,IBZ
BHX,KUN
BHX,REU
BIQ,NYO
BLL,CCF
BLL,CFU
BLL,CHQ
BLL,FAO
BLL,PSA
BLL,TSF
BLL,ZAD
BLQ,AGP
BLQ,AHO
BLQ,ALC
BLQ,BOD
BLQ,BRS
BLQ,CTA
BLQ,DUB
BLQ,EDI
BLQ,IBZ
BLQ,MAN
BLQ,OPO
BLQ,PMI
BLQ,RYG
BOD,BLQ
BOD,MRS
BOD,STN
BOH,CHQ
BOH,FUE
BOH,IBZ
BOH,PSA
BOH,RHO
BRE,BZR
BRE,CFU
BRE,CHQ
BRE,HAU
BRE,SKG
BRI,DUB
BRI,MST
BRI,SVQ
BRI,VLC
BRS,BLQ
BRS,IBZ
BRS,LIG
BRS,NOC
BRS,REU
BRS,VLC
BRU,AGP
BRU,ALC
BRU,BCN
BRU,FCO
BRU,LIS
BRU,OPO
BRU,PMI
BRU,TSF
BRU,VLC
BSL,DUB
BSL,STN
BTS,AGP
BTS,BVA
BTS,GRO
BTS,TPS
BVA,ACE
BVA,BDS
BVA,BTS
BVA,LIS
BVA,PUY
BVA,SNN
BVA,ZAD
BVE,STN
BZR,BRE
BZR,EDI
BZR,NRN
BZR,RYG
CAG,FKB
CAG,MAD
CAG,PEG
CAG,PSR
CCF,BLL
CCF,OPO
CCF,PIK
CFU,BLL
CFU,BRE
CFU,CIA
CFU,CRL
CFU,EDI
CFU,EIN
CFU,EMA
CFU,LBA
CFU,MAN
CFU,PIK
CFU,RYG
CHQ,ATH
CHQ,BGY
CHQ,BLL
CHQ,BOH
CHQ,BRE
CHQ,CIA
CHQ,CRL
CHQ,DUB
CHQ,EIN
CHQ,EMA
CHQ,HHN
CHQ,KTW
CHQ,LBA
CHQ,MRS
CHQ,TSF
CHQ,VNO
CIA,CFU
CIA,CHQ
CIA,IBZ
CIA,PMI
CIY,DUB
CIY,HHN
CIY,KUN
CIY,PSA
CRL,CFU
CRL,CHQ
CRL,GOA
CRL,IBZ
CRL,LEI
CRL,LRH
CRL,PUY
CRL,RDZ
CRL,RHO
CRL,TGD
CRL,TRS
CRL,VOL
CRL,ZTH
CTA,BLQ
CTA,EIN
CTA,FCO
CTA,MAD
CTA,MRS
CTA,TRN
CTA,TSF
DLE,LIS
DTM,GRO
DTM,STN
DUB,AHO
DUB,BLQ
DUB,BRI
DUB,BSL
DUB,CHQ
DUB,CIY
DUB,IBZ
DUB,LEI
DUB,LIS
DUB,LRH
DUB,OTP
DUB,PRG
DUB,RAK
DUB,RDZ
DUB,SDR
DUB,VLC
DUB,ZAD
EDI,BLQ
EDI,BZR
EDI,CFU
EDI,KUN
EDI,MRS
EDI,SDR
EFL,STN
EGC,EMA
EGC,LPL
EIN,CFU
EIN,CHQ
EIN,CTA
EIN,IBZ
EIN,MJV
EIN,NOC
EIN,TSF
EMA,BGY
EMA,CFU
EMA,CHQ
EMA,EGC
EMA,GRO
EMA,IBZ
EMA,LRH
EMA,MAH
EMA,RHO
FAO,BLL
FAO,LDY
FAO,LIS
FAO,SNN
FCO,BCN
FCO,BRU
FCO,CTA
FCO,PMO
FCO,SUF
FKB,ACE
FKB,CAG
FKB,LPA
FKB,TFS
FKB,ZAD
FMM,AHO
FMM,SNN
FMO,GRO
FNI,LPL
FUE,BOH
FUE,MAN
FUE,ORK
FUE,SNN
GDN,PSA
GDN,WMI
GOA,CRL
GPA,PFO
GRO,BDS
GRO,BGY
GRO,BTS
GRO,DTM
GRO,EMA
GRO,FMO
GRO,GRQ
GRO,IBZ
GRO,LBA
GRO,LPP
GRO,PMI
GRO,SKG
GRQ,GRO
GRQ,PMI
GSE,MRS
GSE,PMI
GSE,PSA
GSE,ZAD
HAU,BRE
HAU,PSA
HAU,ZAD
HHN,CHQ
HHN,CIY
HHN,IBZ
HHN,LIS
HHN,PDV
HHN,PUY
HHN,VOL
HHN,ZAD
IBZ,AGP
IBZ,BGY
IBZ,BHX
IBZ,BLQ
IBZ,BOH
IBZ,BRS
IBZ,CIA
IBZ,CRL
IBZ,DUB
IBZ,EIN
IBZ,EMA
IBZ,GRO
IBZ,HHN
IBZ,LBA
IBZ,LPL
IBZ,MAN
IBZ,MRS
IBZ,NRN
IBZ,PIK
IBZ,PSA
IBZ,STN
KGS,BGY
KGS,KRK
KGS,LBA
KGS,LPL
KGS,RYG
KIR,ALC
KRK,KGS
KRK,SNN
KRK,TPS
KTW,CHQ
KUN,BHX
KUN,CIY
KUN,EDI
KUN,MLA
KUN,NOC
KUN,RHO
KUN,TPS
LBA,CFU
LBA,CHQ
LBA,GRO
LBA,IBZ
LBA,KGS
LBA,LIG
LBA,MPL
LBA,PSA
LBA,TSF
LDE,BGY
LDY,FAO
LEI,CRL
LEI,DUB
LEI,NRN
LIG,BRS
LIG,LBA
LIS,BRU
LIS,BVA
LIS,DLE
LIS,DUB
LIS,FAO
LIS,HHN
LIS,MAN
LIS,MRS
LIS,OPO
LIS,PSA
LIS,STN
LPA,FKB
LPA,MAN
LPL,EGC
LPL,FNI
LPL,IBZ
LPL,KGS
LPL,OPO
LPL,PSA
LPL,RHO
LPP,GRO
LRH,CRL
LRH,DUB
LRH,EMA
MAD,CAG
MAD,CTA
MAD,PMO
MAD,RYG
MAH,EMA
MAH,VLC
MAN,BCN
MAN,BLQ
MAN,CFU
MAN,FUE
MAN,IBZ
MAN,LIS
MAN,LPA
MAN,REU
MAN,ZAD
MJV,EIN
MLA,KUN
MLA,PIK
MLA,RYG
MMX,AGP
MPL,LBA
MRS,BOD
MRS,CHQ
MRS,CTA
MRS,EDI
MRS,GSE
MRS,IBZ
MRS,LIS
MRS,WMI
MRS,ZAD
MST,BRI
NCE,SNN
NOC,AGP
NOC,BRS
NOC,EIN
NOC,KUN
NOC,TFS
NRN,BZR
NRN,IBZ
NRN,LEI
NRN,PSR
NRN,SDR
NRN,ZAD
NYO,AHO
NYO,BIQ
NYO,RJK
NYO,ZAD
OPO,BLQ
OPO,BRU
OPO,CCF
OPO,LIS
OPO,LPL
OPO,PMI
OPO,TFS
ORK,FUE
ORK,PMI
OSI,STN
OTP,DUB
OTP,STN
PDV,HHN
PEG,CAG
PEG,TPS
PFO,ATH
PFO,GPA
PIK,CCF
PIK,CFU
PIK,IBZ
PIK,MLA
PIS,SNN
PMF,AHO
PMI,AGP
PMI,BGY
PMI,BLQ
PMI,BRU
PMI,CIA
PMI,GRO
PMI,GRQ
PMI,GSE
PMI,OPO
PMI,ORK
PMI,REU
PMI,SNN
PMO,FCO
PMO,MAD
PMO,SVQ
PRG,DUB
PRG,STN
PSA,BLL
PSA,BOH
PSA,CIY
PSA,GDN
PSA,GSE
PSA,HAU
PSA,IBZ
PSA,LBA
PSA,LIS
PSA,LPL
PSA,SKG
PSA,TRF
PSR,CAG
PSR,NRN
PUY,BVA
PUY,CRL
PUY,HHN
PUY,RYG
PUY,STN
RAK,DUB
RBA,STN
RDZ,CRL
RDZ,DUB
REU,BHX
REU,BRS
REU,MAN
REU,PMI
RHO,ATH
RHO,BGY
RHO,BOH
RHO,CRL
RHO,EMA
RHO,KUN
RHO,LPL
RHO,RYG
RHO,STN
RJK,NYO
RYG,BLQ
RYG,BZR
RYG,CFU
RYG,KGS
RYG,MAD
RYG,MLA
RYG,PUY
RYG,RHO
RYG,SKG
RYG,ZAD
SCQ,BGY
SDR,AGP
SDR,DUB
SDR,EDI
SDR,NRN
SFT,STN
SKG,ATH
SKG,BRE
SKG,GRO
SKG,PSA
SKG,RYG
SKG,WMI
SNN,ALC
SNN,BVA
SNN,FAO
SNN,FMM
SNN,FUE
SNN,KRK
SNN,NCE
SNN,PIS
SNN,PMI
SNN,SXF
SNN,TFS
SNN,WMI
STN,ATH
STN,BOD
STN,BSL
STN,BVE
STN,DTM
STN,EFL
STN,IBZ
STN,LIS
STN,OSI
STN,OTP
STN,PRG
STN,PUY
STN,RBA
STN,RHO
STN,SFT
STN,TGD
STN,TLN
STN,ZAD
SUF,FCO
SUF,TSF
SVQ,BRI
SVQ,PMO
SXF,SNN
TFS,FKB
TFS,NOC
TFS,OPO
TFS,SNN
TGD,CRL
TGD,STN
TLN,STN
TMP,ALC
TMP,BGY
TPS,AOI
TPS,BTS
TPS,KRK
TPS,KUN
TPS,PEG
TPS,WMI
TRF,AHO
TRF,PSA
TRN,CTA
TRS,AHO
TRS,CRL
TRS,VLC
TSF,AGP
TSF,BLL
TSF,BRU
TSF,CHQ
TSF,CTA
TSF,EIN
TSF,LBA
TSF,SUF
VLC,BRI
VLC,BRS
VLC,BRU
VLC,DUB
VLC,MAH
VLC,TRS
VNO,CHQ
VOL,CRL
VOL,HHN
VST,AGP
WMI,ALC
WMI,GDN
WMI,MRS
WMI,SKG
WMI,SNN
WMI,TPS
WMI,WRO
WRO,ALC
WRO,WMI
ZAD,BLL
ZAD,BVA
ZAD,DUB
ZAD,FKB
ZAD,GSE
ZAD,HAU
ZAD,HHN
ZAD,MAN
ZAD,MRS
ZAD,NRN
ZAD,NYO
ZAD,RYG
ZAD,STN
ZAZ,ACE
ZTH,CRL
