Source,Target
AMD,BLR
AMD,BOM
AMD,CCU
AMD,DEL
AMD,GOI
AMD,HYD
AMD,JAI
AMD,MAA
AMD,PNQ
BBI,BLR
BBI,BOM
BBI,CCU
BBI,DEL
BBI,HYD
BBI,VTZ
BDQ,BOM
BDQ,DEL
BKK,CCU
BKK,DEL
BLR,AMD
BLR,BBI
BLR,BOM
BLR,CCU
BLR,COK
BLR,DEL
BLR,GAU
BLR,GOI
BLR,HYD
BLR,JAI
BLR,LKO
BLR,MAA
BLR,NAG
BLR,PNQ
BLR,TRV
BLR,VTZ
BOM,AMD
BOM,BBI
BOM,BDQ
BOM,BLR
BOM,CCU
BOM,CJB
BOM,COK
BOM,DEL
BOM,DXB
BOM,GAU
BOM,GOI
BOM,HYD
BOM,IDR
BOM,IXC
BOM,IXJ
BOM,JAI
BOM,LKO
BOM,MAA
BOM,MCT
BOM,NAG
BOM,PAT
BOM,SXR
BOM,TRV
CCU,AMD
CCU,BBI
CCU,BKK
CCU,BLR
CCU,BOM
CCU,DEL
CCU,DIB
CCU,GAU
CCU,HYD
CCU,IMF
CCU,IXA
CCU,IXB
CCU,IXR
CCU,JAI
CCU,MAA
CCU,NAG
CCU,PAT
CCU,PNQ
CCU,RPR
CJB,BOM
CJB,DEL
CJB,MAA
COK,BLR
COK,BOM
COK,DEL
COK,DXB
COK,HYD
COK,MAA
COK,TRV
DEL,AMD
DEL,BBI
DEL,BDQ
DEL,BKK
DEL,BLR
DEL,BOM
DEL,CCU
DEL,CJB
DEL,COK
DEL,DIB
DEL,DXB
DEL,GAU
DEL,GOI
DEL,HYD
DEL,IDR
DEL,IXB
DEL,IXJ
DEL,IXR
DEL,KTM
DEL,LKO
DEL,MAA
DEL,NAG
DEL,PAT
DEL,PNQ
DEL,RPR
DEL,SXR
DEL,VNS
DIB,CCU
DIB,GAU
DXB,BOM
DXB,COK
DXB,DEL
DXB,HYD
DXB,MAA
DXB,TRV
GAU,BLR
GAU,BOM
GAU,CCU
GAU,DEL
GAU,IMF
GAU,IXA
GAU,IXB
GOI,AMD
GOI,BLR
GOI,BOM
GOI,DEL
GOI,HYD
HYD,AMD
HYD,BBI
HYD,BLR
HYD,BOM
HYD,CCU
HYD,COK
HYD,DEL
HYD,DXB
HYD,GOI
HYD,JAI
HYD,MAA
HYD,PNQ
HYD,RPR
HYD,VTZ
IDR,BOM
IDR,DEL
IDR,NAG
IDR,RPR
IMF,CCU
IMF,GAU
IMF,IXA
IXA,CCU
IXA,GAU
IXA,IMF
IXB,CCU
IXB,DEL
IXB,GAU
IXC,BOM
IXJ,DEL
IXJ,SXR
IXR,BOM
IXR,CCU
IXR,DEL
IXR,PAT
JAI,AMD
JAI,BLR
JAI,BOM
JAI,CCU
JAI,HYD
KTM,DEL
LKO,BLR
LKO,BOM
LKO,DEL
LKO,PAT
MAA,AMD
MAA,BLR
MAA,BOM
MAA,CCU
MAA,CJB
MAA,COK
MAA,DEL
MAA,DXB
MAA,HYD
MAA,PNQ
MAA,SIN
MAA,TRV
MAA,VTZ
MCT,BOM
NAG,BLR
NAG,BOM
NAG,CCU
NAG,DEL
NAG,IDR
NAG,PNQ
PAT,CCU
PAT,DEL
PAT,IXR
PAT,LKO
PNQ,AMD
PNQ,BLR
PNQ,CCU
PNQ,DEL
PNQ,HYD
PNQ,MAA
PNQ,NAG
RPR,CCU
RPR,DEL
RPR,HYD
RPR,IDR
SIN,MAA
SXR,BOM
SXR,DEL
SXR,IXJ
TRV,BLR
TRV,BOM
TRV,COK
TRV,DXB
TRV,MAA
VNS,DEL
VTZ,BBI
VTZ,BLR
VTZ,HYD
VTZ,MAA
