Source,Target
AAR,AGP
AAR,PMI
AAR,STN
ACE,BCN
ACE,BGY
ACE,BHX
ACE,BLQ
ACE,BOH
ACE,BRS
ACE,BVA
ACE,CRL
ACE,DUB
ACE,EDI
ACE,EIN
ACE,EMA
ACE,FKB
ACE,HHN
ACE,LBA
ACE,LPL
ACE,LTN
ACE,MAD
ACE,MAN
ACE,NOC
ACE,NRN
ACE,ORK
ACE,PIK
ACE,SCQ
ACE,SDR
ACE,SNN
ACE,STN
ACE,SVQ
ACE,ZAZ
AGA,CRL
AGA,MRS
AGP,AAR
AGP,BCN
AGP,BGY
AGP,BHX
AGP,BLL
AGP,BLQ
AGP,BOH
AGP,BRE
AGP,BRS
AGP,BRU
AGP,BTS
AGP,BVA
AGP,CGN
AGP,CIA
AGP,CRL
AGP,DTM
AGP,DUB
AGP,EDI
AGP,EIN
AGP,EMA
AGP,FKB
AGP,FMM
AGP,FMO
AGP,GSE
AGP,HAU
AGP,HHN
AGP,IBZ
AGP,KRK
AGP,LBA
AGP,LPL
AGP,MAN
AGP,MMX
AGP,MRS
AGP,NOC
AGP,NRN
AGP,NUE
AGP,NYO
AGP,ORK
AGP,PIK
AGP,PMI
AGP,RYG
AGP,SCQ
AGP,SDR
AGP,SNN
AGP,STN
AGP,TMP
AGP,TRF
AGP,TSF
AGP,VST
AGP,WRO
AHO,AOI
AHO,BGY
AHO,BLL
AHO,BLQ
AHO,BTS
AHO,BVA
AHO,CIA
AHO,CRL
AHO,CUF
AHO,DTM
AHO,DUB
AHO,EIN
AHO,FMM
AHO,GRO
AHO,GSE
AHO,HHN
AHO,LTN
AHO,MAD
AHO,NRN
AHO,NYO
AHO,PMF
AHO,PSA
AHO,STN
AHO,TRF
AHO,TRS
AHO,TSF
ALC,BGY
ALC,BHX
ALC,BLL
ALC,BLQ
ALC,BOH
ALC,BRE
ALC,BRS
ALC,BRU
ALC,BVA
ALC,CRL
ALC,DUB
ALC,EDI
ALC,EIN
ALC,EMA
ALC,FKB
ALC,FMM
ALC,GSE
ALC,HAU
ALC,HHN
ALC,KIR
ALC,KRK
ALC,KTW
ALC,KUN
ALC,LBA
ALC,LPL
ALC,MAN
ALC,MST
ALC,NOC
ALC,NRN
ALC,NUE
ALC,NYO
ALC,PIK
ALC,RYG
ALC,SCQ
ALC,SNN
ALC,STN
ALC,TMP
ALC,TRF
ALC,VST
ALC,VXO
ALC,WMI
ALC,WRO
AOI,AHO
AOI,CRL
AOI,NRN
AOI,STN
AOI,TPS
ATH,BGY
ATH,CHQ
ATH,PFO
ATH,RHO
ATH,SKG
ATH,STN
BCN,ACE
BCN,AGP
BCN,BGY
BCN,BHX
BCN,BLQ
BCN,BRU
BCN,BUD
BCN,BVA
BCN,CIA
BCN,CRL
BCN,DUB
BCN,EDI
BCN,EMA
BCN,FCO
BCN,FEZ
BCN,FUE
BCN,IBZ
BCN,LPA
BCN,LPL
BCN,MAH
BCN,MAN
BCN,NDR
BCN,NYO
BCN,OPO
BCN,PIK
BCN,PMI
BCN,RYG
BCN,SCQ
BCN,SDR
BCN,STN
BCN,SVQ
BCN,TFN
BCN,TFS
BCN,TRN
BCN,TSF
BCN,VLL
BCN,VNO
BCN,WMI
BCN,XRY
BDS,BGY
BDS,BLQ
BDS,BVA
BDS,CIA
BDS,CRL
BDS,EIN
BDS,GRO
BDS,PSA
BDS,STN
BDS,TRN
BDS,TSF
BES,MRS
BGY,ACE
BGY,AGP
BGY,AHO
BGY,ALC
BGY,ATH
BGY,BCN
BGY,BDS
BGY,BLL
BGY,BRE
BGY,BRI
BGY,BRS
BGY,BTS
BGY,BUD
BGY,BVA
BGY,CAG
BGY,CHQ
BGY,CRL
BGY,CTA
BGY,DUB
BGY,EIN
BGY,EMA
BGY,FEZ
BGY,FUE
BGY,GRO
BGY,GSE
BGY,HHN
BGY,IBZ
BGY,KGS
BGY,KRK
BGY,LBA
BGY,LBC
BGY,LDE
BGY,LPA
BGY,LPP
BGY,MAD
BGY,MAN
BGY,MLA
BGY,NRN
BGY,NYO
BGY,OPO
BGY,PMI
BGY,PMO
BGY,PSR
BGY,RAK
BGY,RHO
BGY,RIX
BGY,RYG
BGY,SCQ
BGY,SDR
BGY,SKG
BGY,STN
BGY,SUF
BGY,SVQ
BGY,SXF
BGY,TFS
BGY,TLL
BGY,TMP
BGY,TPS
BGY,VLC
BGY,VNO
BGY,WMI
BGY,WRO
BGY,ZAZ
BHX,ACE
BHX,AGP
BHX,ALC
BHX,BCN
BHX,BTS
BHX,BZG
BHX,DUB
BHX,FAO
BHX,FUE
BHX,GDN
BHX,IBZ
BHX,KRK
BHX,KTW
BHX,KUN
BHX,LDY
BHX,LPA
BHX,MJV
BHX,MLA
BHX,PMI
BHX,REU
BHX,TFS
BIQ,CRL
BIQ,DUB
BIQ,NYO
BIQ,STN
BLL,AGP
BLL,AHO
BLL,ALC
BLL,BGY
BLL,BUD
BLL,CCF
BLL,CFU
BLL,CHQ
BLL,CIA
BLL,FAO
BLL,GRO
BLL,MLA
BLL,PMI
BLL,PSA
BLL,STN
BLL,TFS
BLL,TSF
BLL,ZAD
BLQ,ACE
BLQ,AGP
BLQ,AHO
BLQ,ALC
BLQ,BCN
BLQ,BDS
BLQ,BOD
BLQ,BRI
BLQ,BRS
BLQ,BVA
BLQ,CRL
BLQ,CTA
BLQ,DUB
BLQ,EDI
BLQ,IBZ
BLQ,KRK
BLQ,MAD
BLQ,MAN
BLQ,MLA
BLQ,NRN
BLQ,OPO
BLQ,PMI
BLQ,PMO
BLQ,RYG
BLQ,STN
BLQ,SUF
BLQ,SVQ
BLQ,TFS
BLQ,TPS
BLQ,VLC
BLQ,WMI
BLQ,WRO
BOD,BLQ
BOD,CIA
BOD,CRL
BOD,EDI
BOD,MRS
BOD,OPO
BOD,STN
BOD,SVQ
BOH,ACE
BOH,AGP
BOH,ALC
BOH,CCF
BOH,CHQ
BOH,FAO
BOH,FUE
BOH,GRO
BOH,IBZ
BOH,LPA
BOH,MJV
BOH,MLA
BOH,PMI
BOH,PSA
BOH,RHO
BOH,TFS
BRE,AGP
BRE,ALC
BRE,BGY
BRE,BZR
BRE,CFU
BRE,CHQ
BRE,DUB
BRE,EDI
BRE,FAO
BRE,FUE
BRE,GRO
BRE,HAU
BRE,LPA
BRE,MAN
BRE,NYO
BRE,OPO
BRE,PMI
BRE,RIX
BRE,SKG
BRE,STN
BRE,TFS
BRE,TLL
BRE,TMP
BRE,TSF
BRE,VNO
BRI,BGY
BRI,BLQ
BRI,BVA
BRI,CAG
BRI,CIA
BRI,CRL
BRI,DUB
BRI,FKB
BRI,GOA
BRI,HHN
BRI,MLA
BRI,MST
BRI,NRN
BRI,PSA
BRI,STN
BRI,SVQ
BRI,TRN
BRI,TRS
BRI,TSF
BRI,VLC
BRQ,STN
BRS,ACE
BRS,AGP
BRS,ALC
BRS,BGY
BRS,BLQ
BRS,BUD
BRS,BZR
BRS,CHQ
BRS,DUB
BRS,EGC
BRS,FAO
BRS,GDN
BRS,GRO
BRS,IBZ
BRS,KUN
BRS,LIG
BRS,LPA
BRS,MLA
BRS,NOC
BRS,PMI
BRS,POZ
BRS,REU
BRS,RZE
BRS,TFS
BRS,TSF
BRS,VLC
BRS,WMI
BRS,WRO
BRU,AGP
BRU,ALC
BRU,BCN
BRU,FCO
BRU,LIS
BRU,OPO
BRU,PMI
BRU,TSF
BRU,VLC
BSL,DUB
BSL,STN
BTS,AGP
BTS,AHO
BTS,BGY
BTS,BHX
BTS,BVA
BTS,CIA
BTS,CRL
BTS,DUB
BTS,EDI
BTS,GRO
BTS,LPL
BTS,LTN
BTS,PMI
BTS,STN
BTS,TPS
BUD,BCN
BUD,BGY
BUD,BLL
BUD,BRS
BUD,BVA
BUD,CIA
BUD,CRL
BUD,DUB
BUD,MAD
BUD,MAN
BUD,PSA
BUD,STN
BUD,TMP
BUD,TSF
BVA,ACE
BVA,AGP
BVA,AHO
BVA,ALC
BVA,BCN
BVA,BDS
BVA,BGY
BVA,BLQ
BVA,BRI
BVA,BTS
BVA,BUD
BVA,BZR
BVA,CAG
BVA,CIA
BVA,DUB
BVA,FAO
BVA,FEZ
BVA,GRO
BVA,GSE
BVA,KRK
BVA,LIS
BVA,MAD
BVA,MAN
BVA,NDR
BVA,NYO
BVA,OPO
BVA,OUD
BVA,PMI
BVA,PSA
BVA,PSR
BVA,PUY
BVA,RAK
BVA,RBA
BVA,RYG
BVA,SNN
BVA,SVQ
BVA,TFS
BVA,TNG
BVA,TPS
BVA,TRS
BVA,TSF
BVA,VLC
BVA,VNO
BVA,WMI
BVA,ZAD
BVA,ZAZ
BVE,STN
BZG,BHX
BZG,DUB
BZG,STN
BZR,BRE
BZR,BRS
BZR,BVA
BZR,EDI
BZR,LTN
BZR,MAN
BZR,NRN
BZR,NYO
BZR,RYG
CAG,BGY
CAG,BRI
CAG,BVA
CAG,CIA
CAG,CRL
CAG,CUF
CAG,FKB
CAG,GOA
CAG,GRO
CAG,HHN
CAG,KRK
CAG,KUN
CAG,MAD
CAG,MRS
CAG,NRN
CAG,PEG
CAG,PMF
CAG,PSA
CAG,PSR
CAG,TPS
CAG,TSF
CCF,BLL
CCF,BOH
CCF,CRL
CCF,DUB
CCF,EIN
CCF,EMA
CCF,LPL
CCF,OPO
CCF,PIK
CCF,STN
CFE,OPO
CFU,BLL
CFU,BRE
CFU,CIA
CFU,CRL
CFU,EDI
CFU,EIN
